fold,run_id,route,duration_s,model_err_m,baseline_err_m,oracle_err_m,model_drift_pct
0,S-M#0,M/M (Driver B),10.0,17.949,19.917,1.886,16.648
0,S-M#0,M/M (Driver B),10.0,4.801,26.678,0.952,4.293
0,S-M#0,M/M (Driver B),10.0,5.771,17.244,4.236,5.375
0,S-M#0,M/M (Driver B),10.0,4.922,125.445,1.462,4.809
0,S-M#0,M/M (Driver B),10.0,9.279,12.45,4.02,10.796
0,S-M#0,M/M (Driver B),10.0,23.178,45.85,1.351,74.438
0,S-M#0,M/M (Driver B),10.0,27.225,24.875,28.89,110.901
0,S-M#0,M/M (Driver B),10.0,13.104,16.523,4.832,26.211
0,S-M#0,M/M (Driver B),10.0,24.319,27.895,0.37,23.576
0,S-M#0,M/M (Driver B),10.0,14.326,133.75,2.054,15.391
0,S-M#0,M/M (Driver B),10.0,15.763,84.7,3.568,11.408
0,S-M#0,M/M (Driver B),10.0,9.611,75.255,3.199,6.793
0,S-M#0,M/M (Driver B),10.0,14.065,164.334,2.315,13.9
0,S-M#0,M/M (Driver B),10.0,21.547,40.594,0.704,58.877
0,S-M#0,M/M (Driver B),10.0,10.346,78.852,0.536,12.652
0,S-M#0,M/M (Driver B),10.0,15.151,80.836,0.681,22.525
0,S-M#0,M/M (Driver B),10.0,3.927,113.666,1.471,4.197
0,S-M#0,M/M (Driver B),10.0,10.379,77.105,1.081,10.408
0,S-M#0,M/M (Driver B),10.0,3.559,26.905,0.358,5.387
0,S-M#0,M/M (Driver B),10.0,10.886,54.558,1.054,14.194
0,S-M#0,M/M (Driver B),10.0,13.384,59.075,2.581,15.179
0,S-M#0,M/M (Driver B),10.0,13.299,53.721,0.641,12.819
0,S-M#0,M/M (Driver B),10.0,17.685,45.012,0.401,19.563
0,S-M#0,M/M (Driver B),10.0,7.482,9.533,0.142,9.129
0,S-M#0,M/M (Driver B),10.0,6.39,44.756,0.472,7.919
0,S-M#0,M/M (Driver B),10.0,14.732,76.476,2.678,22.342
0,S-M#0,M/M (Driver B),10.0,13.071,17.716,0.679,13.628
0,S-M#0,M/M (Driver B),10.0,25.544,17.436,1.919,29.182
0,S-M#0,M/M (Driver B),10.0,18.238,48.023,0.505,16.663
0,S-M#0,M/M (Driver B),10.0,2.967,72.235,0.67,2.439
0,S-M#0,M/M (Driver B),10.0,10.749,43.077,1.49,8.689
0,S-M#0,M/M (Driver B),10.0,7.637,49.888,0.155,6.325
0,S-M#0,M/M (Driver B),10.0,11.768,134.677,0.255,9.376
0,S-M#0,M/M (Driver B),10.0,3.473,35.478,0.312,2.476
0,S-M#0,M/M (Driver B),10.0,11.491,11.835,0.79,9.833
0,S-M#0,M/M (Driver B),10.0,17.964,48.42,1.275,87.713
0,S-M#0,M/M (Driver B),10.0,21.283,81.318,2.223,26.217
0,S-M#0,M/M (Driver B),10.0,3.532,6.344,0.929,2.938
0,S-M#0,M/M (Driver B),10.0,15.916,30.846,0.942,21.081
0,S-M#0,M/M (Driver B),10.0,8.326,4.434,2.207,19.512
0,S-M#0,M/M (Driver B),10.0,7.018,50.543,3.867,7.589
0,S-M#0,M/M (Driver B),10.0,12.347,29.86,0.614,12.469
0,S-M#0,M/M (Driver B),10.0,14.034,123.959,3.961,16.243
0,S-M#0,M/M (Driver B),10.0,21.008,39.037,1.206,72.883
0,S-M#0,M/M (Driver B),10.0,10.949,4.582,8.831,229.503
0,S-M#0,M/M (Driver B),10.0,85.343,43.635,86.355,195.053
0,S-M#0,M/M (Driver B),10.0,8.366,36.297,0.798,26.538
0,S-M#0,M/M (Driver B),10.0,10.628,43.136,3.686,19.598
0,S-M#0,M/M (Driver B),10.0,14.026,75.17,3.393,18.591
0,S-M#0,M/M (Driver B),10.0,11.718,11.479,1.4,15.157
0,S-M#0,M/M (Driver B),10.0,2.587,14.154,1.302,18.003
0,S-M#0,M/M (Driver B),10.0,16.002,15.89,0.362,25.946
0,S-M#0,M/M (Driver B),10.0,13.767,86.046,1.434,18.856
0,S-M#0,M/M (Driver B),10.0,13.562,80.654,1.809,15.171
0,S-M#0,M/M (Driver B),10.0,4.601,95.223,5.605,5.281
0,S-M#0,M/M (Driver B),10.0,4.126,140.82,7.972,4.162
0,S-M#0,M/M (Driver B),10.0,7.356,34.314,2.636,7.267
0,S-M#0,M/M (Driver B),10.0,17.701,2.167,1.7,19.732
0,S-M#0,M/M (Driver B),10.0,3.219,82.9,5.568,4.889
0,S-M#0,M/M (Driver B),10.0,26.316,33.319,2.904,99.498
0,S-M#0,M/M (Driver B),10.0,31.929,2.439,19.902,216.512
0,S-M#0,M/M (Driver B),10.0,13.843,63.831,3.655,26.702
0,S-M#0,M/M (Driver B),10.0,6.51,131.619,2.636,7.738
0,S-M#0,M/M (Driver B),10.0,9.635,58.663,3.402,14.343
0,S-M#0,M/M (Driver B),10.0,10.646,18.81,4.558,10.75
0,S-M#0,M/M (Driver B),10.0,9.53,143.929,0.743,11.079
0,S-M#0,M/M (Driver B),10.0,17.401,31.902,2.193,20.599
0,S-M#0,M/M (Driver B),10.0,11.206,93.73,5.039,15.831
0,S-M#0,M/M (Driver B),10.0,17.0,147.742,4.751,20.879
0,S-M#0,M/M (Driver B),10.0,9.246,136.551,5.273,10.472
0,S-M#0,M/M (Driver B),10.0,25.732,19.72,1.214,31.126
0,S-M#0,M/M (Driver B),10.0,12.362,57.325,1.768,25.284
0,S-M#0,M/M (Driver B),10.0,14.989,45.319,1.449,32.856
0,S-M#0,M/M (Driver B),10.0,1.631,7.411,0.439,18.902
0,S-M#0,M/M (Driver B),10.0,6.652,53.352,1.218,6.837
